ID: 10313 | أراضي
ID: 19374 | مجمع سياحي
ID: 19380 | بيوت ريفية
ID: 19381 | بيت ريفي
ID: 19382 | بيت ريفي سياحي
ID: 19383 | بيت تراثي
ID: 19384 | بيت طيني
ID: 19390 | أخرى
ID: 3 | عقارات للإيجار
ID: 310 | سكني
ID: 302 | ستوديوهات للإيجار
ID: 3023 | ستوديو فندقي / مخدوم
ID: 3101 | فلل وقصور
ID: 301 | شقق للإيجار
ID: 3105 | ملحق / روف
ID: 3999 | أخرى
ID: 3102 | بيوت مستقلة للإيجار
ID: 3103 | دوبلكس / بنتهاوس
ID: 3104 | طابق كامل للإيجار
ID: 311 | تجاري
ID: 303 | محلات ومعارض للإيجار
ID: 304 | مكاتب للإيجار
ID: 314 | مزارع
ID: 315 | شاليهات / منتجعات
ID: 313 | أراضي
ID: 316 | بيوت ريفية
ID: 306 | سكن مشترك
ID: 3061 | سكن طلاب (ذكور)
ID: 3062 | سكن طالبات (إناث)
ID: 3065 | غرفة برايفت للإيجار
ID: 3064 | سكن موظفات
ID: 3066 | سرير في غرفة مشتركة
ID: 3063 | سكن موظفين
